filled_paraphrased_canonical	masked_sparql_query
Длина границ страны, в которой расположено Лос Альтос?	select sum ( ?x0 ) where { SUBJ_1 dr:locatedinclosest ?dummy . ?dummy dr:border_length ?x0 . }
Мать Уолпол Хорас в основном чем занимается?	select ?x0 where { SUBJ_1 dr:mother ?dummy . ?dummy dr:main_field_of_work ?x0 . }
Какое количество лет было умершему человеку, котором был вдохновлён Холли Хендрикс?	select ?x0 where { SUBJ_1 dr:influenced_by ?dummy . ?dummy dr:death_age ?x0 . }
Состоит ли в законном браке сын Иванов Сергей Петрович?	select ?x0 where { SUBJ_1 dr:child ?dummy . ?dummy dr:marriage_fact_now ?x0 . }
химическая группа вещества основного компонента β бисаболен	select ?x0 where { SUBJ_1 dr:major_component ?dummy . ?dummy dr:group ?x0 . }
кто из первооткрывателей Лиссабонский договор был самый старший	select ?x0 where { SUBJ_1 dr:discoverer ?dummy . ?dummy dr:death_age ?x0 . }
"""Габариты места где развивается повествование произведения """"Страна багровых туч""""?"""	select ?x0 where { SUBJ_1 dr:narrative_location ?dummy . ?dummy dr:width ?x0 . }
Российская империя состоит в каком количестве альянсов?	select count ( distinct ?x0 ) where { ?x0 dr:parts_alliance OBJ_1 . }
 Как много наименований у самого лёгкого Афганистан?	select count ( distinct ?x0 ) where { SUBJ_1 dr:lightest ?dummy . ?dummy dr:alias ?x0 . }
Твиттер у автора произведения Золотой жук?	select ?x0 where { SUBJ_1 dr:hasauthor ?dummy . ?dummy dr:twitter ?x0 . }
Какова минимальная высота над уровнем моря у места, в котором на текущий момент живёт Ян Стен?	select ?x0 where { SUBJ_1 dr:residence ?dummy . ?dummy dr:elevation ?x0 . }
Сколько всего имён у персонажа, с которым в данный момент живёт Черная вдова?	select count ( distinct ?x0 ) where { SUBJ_1 dr:residence ?dummy . ?dummy dr:name ?x0 . }
Eazy E, кто автор персонажа	select ?x0 where { SUBJ_1 dr:present_in_literary_work ?dummy . ?dummy dr:author ?x0 . }
Под каким кодом на КиноПоиске супруга Чунджон?	select ?x0 where { SUBJ_1 wdt:p26 ?dummy . ?dummy wdt:p2604 ?x0 . }
Учалы давно не функционирует?	select distinct ?x0 where { SUBJ_1 dr:company_end_date ?x0 . }
Карачевское княжество - расположение	select ?x0 where { SUBJ_1 dr:location ?dummy . ?dummy dr:locatedinclosest ?x0 . }
Какова глубина водоёма, на территории которого географически расположена Канада	select ?x0 where { SUBJ_1 dr:locatedin ?dummy . ?dummy dr:depth ?x0 . }
Кто убедил о создании Панцерваффе?	select distinct ?x0 where { ?x0 dr:reformer OBJ_1 . }
Башня Врангеля - расположение	select ?x0 where { SUBJ_1 dr:location ?dummy . ?dummy dr:locatedinclosest ?x0 . }
Каково среднее арифметическое число количества логотипов у компании, которая владеет Hyundai Motor?	select ?x0 where { SUBJ_1 dr:company_owner ?dummy . ?dummy dr:company_logo ?x0 . }
Популяция страны которая  которая граничит с Нидерланды	select ?x0 where { SUBJ_1 dr:borders_country ?dummy . ?dummy dr:population_count ?x0 . }
Какой минимум длины границ страны, в юрисдикции которой находится ГитегаDUMMY?	select ?x0 where { SUBJ_1 dr:political_own ?dummy . ?dummy dr:border_length ?x0 . }
Год рождения основателя компании Pinterest ?	select ?x0 where { SUBJ_1 dr:company_founder ?dummy . ?dummy dr:birth_day ?x0 . }
Что расположено на границе с Китай? 	select distinct ?x0 where { ?x0 dr:borders_country OBJ_1 . }
Какая общая площадь страны, которая является родиной Татьяна Маркова?	select ?x0 where { SUBJ_1 dr:native_country ?dummy . ?dummy dr:area ?x0 . }
Старикам тут не место роман стиль написания ?	select distinct ?x0 where { ?x0 dr:present_in_literary_work OBJ_1 . }
Крис Морган ее отец	select distinct ?x0 where { ?x0 dr:child OBJ_1 . }
Знаете ли вы псевдоним брата Петр Катаев?	select ?x0 where { SUBJ_1 dr:sibling ?dummy . ?dummy dr:pseudonym ?x0 . }
Какой минимальный рейтинг на портале кинопоиск у фильма Ли Перри? 	select distinct ?x0 where { SUBJ_1 dr:isdirectorandactorinfilm ?dummy . ?dummy dr:haskinopoiskrating ?x0 . } order by desc ( ?x0 )
Размер страны в юрисдикции которой есть Чаринг Кросс? 	select ?x0 where { SUBJ_1 dr:political_own ?dummy . ?dummy dr:area ?x0 . }
Какая погода в Казахстан 	select distinct ?x0 where { SUBJ_1 dr:climate ?x0 . }
Главным героем какого произведения яляется Поручик Ржевский?	select distinct ?x0 where { SUBJ_1 dr:main_character_female ?x0 . }
Какие родственные связи имеет Костя Ульман ?	select distinct ?x0 where { ?x0 dr:sibling OBJ_1 . }
В стране, в которой Мартин Шкрели имеет гражданство, какое количество рабочих мест?	select ?x0 where { SUBJ_1 dr:country_of_citizenship ?dummy . ?dummy dr:count_works ?x0 . }
Gaijin Entertainment, максимальное колличество сотрудников	select ?x0 where { SUBJ_1 dr:company_owner ?dummy . ?dummy dr:company_employment ?x0 . }
Каково итоговое число при сложении всех известных псевдонимов автора произведения Бармаглот?	select ?x0 where { SUBJ_1 dr:hasauthor ?dummy . ?dummy dr:pseudonym ?x0 . }
Река, являющаяся притоком Средиземное море, какова по протяженности минимум?	select distinct ?x0 where { SUBJ_1 dr:river_inflows ?dummy . ?dummy dr:length ?x0 . } order by desc ( ?x0 )
Каково общее число имен у персонажа, с которым в данный момент живёт Питер Паркер?	select count ( distinct ?x0 ) where { SUBJ_1 dr:residence ?dummy . ?dummy dr:name ?x0 . }
Какое количество детей у  создателя персонажа с именем Капитан Флинт?	select ?x0 where { SUBJ_1 dr:creator ?dummy . ?dummy dr:child_count ?x0 . }
В каком жанре писал композиции человек который вдохновлял Мемнон Родосский	select ?x0 where { SUBJ_1 dr:influenced_by ?dummy . ?dummy dr:hasgeneralmusicgenre ?x0 . }
